Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
689.515	3328	
689.546	3420	
689.576	3458	
689.606	3540	
689.637	3604	
689.667	3640	
689.697	3714	
689.728	3672	
689.758	3776	
689.789	3752	
689.819	3822	
689.849	3838	
689.88	3904	
689.91	3860	
689.94	3920	
689.971	3976	
690.001	3958	
690.031	4008	
690.062	3972	
690.092	3976	
690.122	3980	
690.153	3986	
690.183	3956	
690.213	4002	
690.244	3972	
690.274	4022	
690.304	3978	
690.335	4044	
690.365	3990	
690.395	4028	
690.426	4008	
690.456	4002	
690.486	4040	
690.517	4006	
690.547	4072	
690.577	4036	
690.608	4022	
690.638	4016	
690.668	4022	
690.699	4026	
690.729	4018	
690.759	3964	
690.79	4028	
690.82	3988	
690.85	4018	
690.88	3976	
690.911	3998	
690.941	3956	
690.971	3982	
691.002	4032	
691.032	3998	
691.062	3966	
691.093	3992	
691.123	3960	
691.153	3996	
691.184	3994	
691.214	4016	
691.244	3918	
691.274	3962	
691.305	3964	
691.335	3952	
691.365	3932	
691.396	3932	
691.426	3990	
691.456	3958	
691.487	3990	
691.517	4040	
691.547	3976	
691.577	3996	
691.608	3960	
691.638	4012	
691.668	4018	
691.699	4004	
691.729	4010	
691.759	4036	
691.789	3996	
691.82	4026	
691.85	4000	
691.88	4008	
691.91	3966	
691.941	3940	
691.971	3998	
692.001	3958	
692.032	3988	
692.062	4026	
692.092	4032	
692.122	4050	
692.153	4086	
692.183	4144	
692.213	4112	
692.243	4266	
692.274	4430	
692.304	4598	
692.334	4778	
692.365	5064	
692.395	5558	
692.425	6434	
692.455	7004	
692.486	7190	
692.516	7234	
692.546	7470	
692.576	7664	
692.607	8032	
692.637	8150	
692.667	8202	
692.697	7338	
692.728	6624	
692.758	5990	
692.788	5154	
692.818	4522	
692.849	4184	
692.879	4106	
692.909	3960	
692.939	3940	
692.97	3910	
693	3932	
693.03	3910	
693.06	3946	
693.09	3886	
693.121	3904	
693.151	3840	
693.181	3914	
693.211	3842	
693.242	3904	
693.272	3876	
693.302	3888	
693.332	3902	
693.363	3946	
693.393	3824	
693.423	3852	
693.453	3852	
693.483	3818	
693.514	3870	
693.544	3884	
693.574	3868	
693.604	3874	
693.635	3866	
693.665	3858	
693.695	3818	
693.725	3878	
693.755	3814	
693.786	3820	
693.816	3850	
693.846	3900	
693.876	3818	
693.906	3846	
693.937	3844	
693.967	3864	
693.997	3832	
694.027	3790	
694.058	3842	
694.088	3822	
694.118	3828	
694.148	3836	
694.178	3840	
694.208	3878	
694.239	3860	
694.269	3848	
694.299	3890	
694.329	3822	
694.359	3844	
694.39	3858	
694.42	3906	
694.45	3870	
694.48	3828	
694.51	3844	
694.541	3892	
694.571	3826	
694.601	3850	
694.631	3800	
694.661	3862	
694.692	3868	
694.722	3818	
694.752	3846	
694.782	3840	
694.812	3842	
694.842	3878	
694.873	3884	
694.903	3860	
694.933	3898	
694.963	3860	
694.993	3894	
695.023	3850	
695.054	3846	
695.084	3842	
695.114	3840	
695.144	3822	
695.174	3780	
695.204	3822	
695.235	3846	
695.265	3824	
695.295	3864	
695.325	3848	
695.355	3812	
695.385	3830	
695.416	3876	
695.446	3876	
695.476	3840	
695.506	3834	
695.536	3816	
695.566	3854	
695.596	3858	
695.627	3862	
695.657	3782	
695.687	3834	
695.717	3794	
695.747	3820	
695.777	3846	
695.807	3816	
695.838	3802	
695.868	3862	
695.898	3866	
695.928	3828	
695.958	3778	
695.988	3842	
696.018	3820	
696.048	3806	
696.079	3854	
696.109	3856	
696.139	3860	
696.169	3808	
696.199	3866	
696.229	3824	
696.259	3834	
696.29	3868	
696.32	3854	
696.35	3796	
696.38	3830	
696.41	3878	
696.44	3844	
696.47	3886	
696.5	3896	
696.53	3866	
696.561	3830	
696.591	3874	
696.621	3906	
696.651	3914	
696.681	3894	
696.711	3920	
696.741	3900	
696.771	3866	
696.801	3864	
696.832	3834	
696.862	3866	
696.892	3894	
696.922	3858	
696.952	3856	
696.982	3918	
697.012	3852	
697.042	3848	
697.072	3804	
697.102	3870	
697.133	3860	
697.163	3826	
697.193	3810	
697.223	3820	
697.253	3850	
697.283	3806	
697.313	3834	
697.343	3826	
697.373	3818	
697.403	3812	
697.433	3866	
697.463	3846	
697.494	3828	
697.524	3846	
697.554	3818	
697.584	3864	
697.614	3866	
697.644	3816	
697.674	3862	
697.704	3822	
697.734	3866	
697.764	3814	
697.794	3808	
697.824	3862	
697.854	3834	
697.884	3804	
697.915	3860	
697.945	3832	
697.975	3860	
698.005	3816	
698.035	3848	
698.065	3822	
698.095	3848	
698.125	3800	
698.155	3822	
698.185	3810	
698.215	3868	
698.245	3858	
698.275	3864	
