Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
727.074	1008	
727.103	1000	
727.133	1004	
727.163	996	
727.193	996	
727.223	1002	
727.253	998	
727.282	996	
727.312	1000	
727.342	998	
727.372	1004	
727.402	998	
727.432	1004	
727.461	1000	
727.491	1000	
727.521	1004	
727.551	1000	
727.581	1000	
727.61	1004	
727.64	1000	
727.67	1002	
727.7	996	
727.73	1000	
727.759	1002	
727.789	1006	
727.819	1002	
727.849	1002	
727.879	998	
727.908	1002	
727.938	1002	
727.968	1006	
727.998	1000	
728.028	1002	
728.057	1004	
728.087	1000	
728.117	1002	
728.147	1002	
728.177	1006	
728.206	1006	
728.236	1006	
728.266	1004	
728.296	1004	
728.326	1004	
728.355	1004	
728.385	1000	
728.415	1006	
728.445	1008	
728.474	1006	
728.504	1008	
728.534	1004	
728.564	1004	
728.594	1002	
728.623	1002	
728.653	1002	
728.683	1006	
728.713	1006	
728.742	1008	
728.772	1010	
728.802	1000	
728.832	1002	
728.861	1002	
728.891	1010	
728.921	1004	
728.951	1006	
728.981	1008	
729.01	1000	
729.04	1006	
729.07	1002	
729.1	1002	
729.129	1006	
729.159	1008	
729.189	1006	
729.219	1006	
729.248	1006	
729.278	1006	
729.308	1006	
729.338	1008	
729.367	1012	
729.397	1006	
729.427	1010	
729.457	1000	
729.486	1006	
729.516	1004	
729.546	1002	
729.576	1010	
729.605	1006	
729.635	1004	
729.665	1004	
729.694	1008	
729.724	1008	
729.754	1004	
729.784	1004	
729.813	1004	
729.843	1004	
729.873	1006	
729.903	1012	
729.932	1004	
729.962	1006	
729.992	1002	
730.021	1000	
730.051	1010	
730.081	1010	
730.111	1004	
730.14	1008	
730.17	1008	
730.2	1012	
730.23	1004	
730.259	1010	
730.289	1008	
730.319	1010	
730.348	1012	
730.378	1004	
730.408	1010	
730.437	1012	
730.467	1012	
730.497	1012	
730.527	1008	
730.556	1014	
730.586	1012	
730.616	1006	
730.645	1012	
730.675	1010	
730.705	1010	
730.735	1016	
730.764	1016	
730.794	1010	
730.824	1012	
730.853	1010	
730.883	1014	
730.913	1012	
730.942	1012	
730.972	1012	
731.002	1010	
731.031	1006	
731.061	1014	
731.091	1008	
731.12	1020	
731.15	1006	
731.18	1014	
731.21	1016	
731.239	1018	
731.269	1008	
731.299	1012	
731.328	1012	
731.358	1012	
731.388	1014	
731.417	1012	
731.447	1012	
731.477	1016	
731.506	1014	
