Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
426.28	1008	
426.313	1000	
426.347	998	
426.38	1002	
426.413	1006	
426.447	1002	
426.48	1000	
426.514	1006	
426.547	1008	
426.58	1014	
426.614	1004	
426.647	1012	
426.681	1004	
426.714	1010	
426.748	1004	
426.781	1004	
426.814	1008	
426.848	1004	
426.881	1006	
426.914	1006	
426.948	1008	
426.981	1002	
427.015	1008	
427.048	1008	
427.081	1004	
427.115	1000	
427.148	1010	
427.182	1004	
427.215	1006	
427.248	1002	
427.282	1010	
427.315	1016	
427.349	1002	
427.382	1004	
427.415	998	
427.449	1000	
427.482	1006	
427.515	1010	
427.549	1006	
427.582	1010	
427.616	1004	
427.649	1004	
427.682	1006	
427.716	1010	
427.749	1006	
427.782	1006	
427.816	1006	
427.849	1010	
427.883	1006	
427.916	1008	
427.949	1006	
427.983	1008	
428.016	1012	
428.049	1010	
428.083	1004	
428.116	1008	
428.15	1004	
428.183	1012	
428.216	1006	
428.25	1006	
428.283	1002	
428.316	1012	
428.35	1006	
428.383	1008	
428.416	1004	
428.45	1000	
428.483	1006	
428.517	1010	
428.55	1002	
428.583	1006	
428.617	1006	
428.65	1010	
428.683	1008	
428.717	1006	
428.75	1008	
428.783	1008	
428.817	1012	
428.85	1006	
428.883	1006	
428.917	1012	
428.95	1000	
428.983	1008	
429.017	1006	
429.05	1008	
429.083	1008	
429.117	1006	
429.15	1006	
429.183	1012	
429.217	1016	
429.25	1006	
429.283	1004	
429.317	1004	
429.35	1008	
429.384	1006	
429.417	1000	
429.45	1006	
429.483	1008	
429.517	1002	
429.55	1006	
429.583	1006	
429.617	1004	
429.65	1008	
429.683	1002	
429.717	1002	
429.75	1004	
429.783	1004	
429.817	1002	
429.85	1006	
429.883	1012	
429.917	1008	
429.95	1008	
429.983	1002	
430.017	1006	
430.05	1010	
430.083	1008	
430.117	1008	
430.15	1008	
430.183	1004	
430.217	1012	
430.25	1004	
430.283	1008	
430.317	1008	
430.35	1004	
430.383	1006	
430.416	1010	
430.45	1010	
430.483	1006	
430.516	1008	
430.55	1012	
430.583	1008	
430.616	1010	
430.65	1006	
430.683	1010	
430.716	1010	
430.75	1008	
430.783	1012	
430.816	1008	
430.849	1006	
430.883	1008	
430.916	1006	
430.949	1008	
430.983	1008	
431.016	1010	
431.049	1012	
431.082	1012	
431.116	1002	
431.149	1004	
431.182	1010	
431.216	1008	
431.249	1010	
431.282	1010	
431.315	1008	
431.349	1014	
431.382	1012	
431.415	1010	
431.449	1006	
431.482	1014	
431.515	1010	
431.548	1008	
431.582	1006	
431.615	1006	
431.648	1012	
431.682	1010	
431.715	1014	
431.748	1008	
431.781	1010	
431.815	1012	
431.848	1010	
431.881	1004	
431.914	1010	
431.948	1010	
431.981	1002	
432.014	1008	
432.048	1012	
432.081	1004	
432.114	1012	
432.147	1014	
432.181	1006	
432.214	1012	
432.247	1010	
432.28	1008	
432.314	1012	
432.347	1004	
432.38	1010	
432.413	1008	
432.447	1006	
432.48	1008	
432.513	1012	
432.546	1010	
432.58	1012	
432.613	1010	
432.646	1010	
432.679	1012	
432.713	1008	
432.746	1004	
432.779	1006	
432.812	1014	
432.846	1004	
432.879	1010	
432.912	1006	
432.945	1012	
432.979	1010	
433.012	1010	
433.045	1008	
433.078	1008	
433.112	1012	
433.145	1014	
433.178	1012	
433.211	1006	
433.245	1010	
433.278	1010	
433.311	1016	
433.344	1006	
433.378	1014	
433.411	1010	
433.444	1012	
433.477	1014	
433.51	1008	
433.544	1008	
433.577	1010	
433.61	1016	
433.643	1010	
433.677	1004	
433.71	1010	
433.743	1020	
433.776	1008	
433.81	1018	
433.843	1014	
433.876	1010	
433.909	1014	
433.942	1012	
433.976	1014	
434.009	1008	
434.042	1010	
434.075	1008	
434.108	1014	
434.142	1012	
434.175	1016	
434.208	1016	
434.241	1010	
434.275	1006	
434.308	1008	
434.341	1010	
434.374	1010	
434.407	1010	
434.441	1012	
434.474	1016	
434.507	1010	
434.54	1016	
434.573	1012	
434.607	1006	
434.64	1008	
434.673	1012	
434.706	1012	
434.739	1014	
434.773	1010	
434.806	1012	
434.839	1006	
434.872	1010	
434.905	1016	
434.939	1010	
434.972	1014	
435.005	1016	
435.038	1014	
435.071	1008	
435.105	1008	
435.138	1008	
435.171	1012	
435.204	1004	
435.237	1010	
435.27	1006	
435.304	1012	
435.337	1006	
435.37	1012	
435.403	1014	
435.436	1008	
435.47	1006	
435.503	1012	
435.536	1012	
435.569	1008	
435.602	1008	
435.635	1012	
435.669	1018	
435.702	1008	
435.735	1012	
435.768	1010	
435.801	1008	
435.834	1004	
435.868	1008	
435.901	1004	
435.934	1008	
435.967	1008	
436	1012	
436.033	1008	
436.067	1014	
436.1	1014	
436.133	1016	
436.166	1016	
436.199	1012	
436.232	1004	
436.266	1016	
436.299	1010	
436.332	1012	
436.365	1004	
436.398	1010	
436.431	1016	
436.464	1012	
436.498	1008	
436.531	1016	
436.564	1018	
436.597	1014	
436.63	1004	
436.663	1012	
436.697	1012	
436.73	1010	
436.763	1018	
436.796	1016	
436.829	1008	
436.862	1012	
436.895	1010	
436.929	1006	
436.962	1008	
436.995	1006	
437.028	1014	
437.061	1006	
437.094	1006	
437.127	1010	
437.161	1010	
437.194	1008	
437.227	1018	
437.26	1012	
437.293	1010	
437.326	1008	
437.359	1016	
437.392	1012	
437.426	1008	
437.459	1008	
437.492	1012	
437.525	1010	
437.558	1006	
437.591	1020	
437.624	1010	
437.657	1012	
437.691	1014	
437.724	1016	
437.757	1008	
437.79	1008	
437.823	1018	
437.856	1010	
437.889	1012	
437.922	1014	
437.955	1014	
437.989	1010	
438.022	1012	
438.055	1014	
438.088	1010	
438.121	1010	
438.154	1010	
438.187	1012	
438.22	1012	
438.253	1012	
438.287	1012	
438.32	1010	
438.353	1014	
438.386	1012	
438.419	1010	
438.452	996	
438.485	1012	
438.518	1012	
438.551	1012	
438.584	1008	
438.618	1012	
438.651	1008	
438.684	1012	
438.717	1012	
438.75	1008	
438.783	1010	
438.816	1010	
438.849	1014	
438.882	1010	
438.915	1010	
438.948	1012	
438.982	1010	
439.015	1012	
439.048	1010	
439.081	1014	
439.114	1012	
439.147	1006	
439.18	1010	
439.213	1010	
439.246	1008	
439.279	1008	
439.312	1008	
439.345	1006	
439.379	1010	
439.412	1016	
439.445	1012	
439.478	1008	
439.511	1008	
439.544	1016	
439.577	1014	
439.61	1010	
439.643	1012	
439.676	1010	
439.709	1014	
439.742	1008	
439.775	1010	
439.808	1006	
439.841	1010	
439.875	1010	
439.908	1012	
439.941	1014	
439.974	1002	
440.007	1012	
440.04	1014	
440.073	1012	
440.106	1010	
440.139	1014	
440.172	1014	
440.205	1008	
440.238	1006	
440.271	1004	
440.304	1012	
440.337	1012	
440.37	1016	
440.403	1010	
440.436	1012	
440.47	1012	
440.503	1008	
440.536	1012	
440.569	1002	
440.602	1008	
440.635	1008	
440.668	1012	
440.701	1022	
440.734	1012	
440.767	1010	
440.8	1008	
440.833	1012	
440.866	1016	
440.899	1010	
440.932	1018	
440.965	1010	
440.998	1016	
441.031	1012	
441.064	1016	
441.097	1018	
441.13	1014	
441.163	1010	
441.196	1014	
441.229	1012	
441.262	1018	
441.295	1012	
441.328	1010	
441.361	1016	
441.394	1016	
441.427	1018	
441.461	1018	
441.494	1006	
441.527	1016	
441.56	1012	
441.593	1014	
441.626	1010	
441.659	1024	
441.692	1014	
441.725	1010	
441.758	1012	
441.791	1018	
441.824	1022	
441.857	1012	
441.89	1018	
441.923	1016	
441.956	1020	
441.989	1014	
442.022	1018	
442.055	1020	
442.088	1018	
442.121	1020	
442.154	1016	
442.187	1024	
442.22	1018	
442.253	1024	
442.286	1018	
442.319	1018	
442.352	1022	
442.385	1024	
442.418	1022	
442.451	1022	
442.484	1020	
442.517	1024	
442.55	1022	
442.583	1020	
442.616	1024	
442.649	1024	
442.682	1026	
442.715	1028	
442.748	1024	
442.781	1030	
442.814	1026	
442.847	1022	
442.879	1020	
442.912	1026	
442.945	1022	
442.978	1022	
443.011	1026	
443.044	1024	
443.077	1014	
443.11	1032	
443.143	1018	
443.176	1026	
443.209	1024	
443.242	1028	
443.275	1022	
443.308	1016	
443.341	1018	
443.374	1032	
443.407	1022	
443.44	1024	
443.473	1022	
443.506	1028	
443.539	1020	
443.572	1016	
443.605	1026	
443.638	1018	
443.671	1024	
443.704	1026	
443.737	1020	
443.77	1016	
443.803	1020	
443.836	1022	
443.868	1022	
443.901	1022	
443.934	1022	
443.967	1022	
444	1026	
444.033	1026	
444.066	1030	
444.099	1024	
444.132	1028	
444.165	1032	
444.198	1032	
444.231	1030	
444.264	1036	
444.297	1036	
444.33	1042	
444.363	1034	
444.396	1036	
444.429	1032	
444.461	1044	
444.494	1048	
444.527	1054	
444.56	1056	
444.593	1050	
444.626	1058	
444.659	1068	
444.692	1068	
444.725	1064	
444.758	1074	
444.791	1086	
444.824	1084	
444.857	1094	
444.89	1102	
444.922	1104	
444.955	1106	
444.988	1100	
445.021	1120	
445.054	1128	
445.087	1130	
445.12	1144	
445.153	1150	
445.186	1160	
445.219	1158	
445.252	1176	
445.285	1170	
445.318	1184	
445.35	1194	
445.383	1192	
445.416	1224	
445.449	1216	
445.482	1222	
445.515	1238	
445.548	1250	
445.581	1250	
445.614	1262	
445.647	1278	
445.679	1304	
445.712	1292	
445.745	1318	
445.778	1320	
445.811	1328	
445.844	1356	
445.877	1350	
445.91	1380	
445.943	1372	
445.976	1390	
446.008	1420	
446.041	1422	
446.074	1426	
446.107	1446	
446.14	1452	
446.173	1474	
446.206	1484	
446.239	1492	
446.272	1518	
446.304	1526	
446.337	1534	
446.37	1542	
446.403	1564	
446.436	1578	
446.469	1570	
446.502	1592	
446.535	1606	
446.568	1642	
446.6	1646	
446.633	1658	
446.666	1692	
446.699	1722	
446.732	1706	
446.765	1766	
446.798	1772	
446.831	1798	
446.863	1786	
446.896	1810	
446.929	1818	
446.962	1858	
446.995	1848	
447.028	1878	
447.061	1906	
447.093	1914	
447.126	1964	
447.159	1924	
447.192	1976	
447.225	1978	
447.258	1998	
447.291	2026	
447.323	2040	
447.356	2048	
447.389	2082	
447.422	2090	
447.455	2112	
447.488	2120	
447.521	2152	
447.553	2152	
447.586	2174	
447.619	2186	
447.652	2192	
447.685	2212	
447.718	2234	
447.751	2284	
447.783	2310	
447.816	2304	
447.849	2318	
447.882	2324	
447.915	2348	
447.948	2406	
447.98	2384	
448.013	2432	
448.046	2440	
448.079	2444	
448.112	2462	
448.145	2506	
448.177	2524	
448.21	2500	
448.243	2568	
448.276	2542	
448.309	2614	
448.342	2616	
448.374	2616	
448.407	2624	
448.44	2636	
448.473	2676	
448.506	2690	
448.539	2692	
448.571	2696	
448.604	2716	
448.637	2728	
448.67	2760	
448.703	2766	
448.735	2810	
448.768	2774	
448.801	2816	
448.834	2790	
448.867	2820	
448.899	2830	
448.932	2840	
448.965	2856	
448.998	2856	
449.031	2868	
449.064	2888	
449.096	2886	
449.129	2866	
449.162	2876	
449.195	2936	
449.228	2882	
449.26	2934	
449.293	2890	
449.326	2882	
449.359	2924	
449.392	2912	
449.424	2874	
449.457	2906	
449.49	2886	
449.523	2854	
449.556	2868	
449.588	2844	
449.621	2866	
449.654	2870	
449.687	2874	
449.719	2862	
449.752	2804	
449.785	2766	
449.818	2754	
449.851	2818	
449.883	2752	
449.916	2706	
449.949	2706	
449.982	2742	
450.015	2684	
450.047	2612	
450.08	2628	
450.113	2612	
450.146	2546	
450.178	2532	
450.211	2514	
450.244	2472	
450.277	2470	
450.31	2422	
450.342	2458	
450.375	2356	
450.408	2360	
450.441	2344	
450.473	2316	
450.506	2232	
450.539	2226	
450.572	2192	
450.604	2164	
450.637	2146	
450.67	2118	
450.703	2086	
450.735	2026	
450.768	1972	
450.801	1946	
450.834	1962	
450.866	1936	
450.899	1882	
450.932	1826	
450.965	1808	
450.997	1812	
451.03	1758	
451.063	1748	
451.096	1706	
451.128	1680	
451.161	1644	
451.194	1644	
451.227	1600	
451.259	1578	
451.292	1552	
451.325	1528	
451.358	1488	
451.39	1452	
451.423	1468	
451.456	1420	
451.489	1426	
451.521	1396	
451.554	1382	
451.587	1356	
451.62	1338	
451.652	1310	
451.685	1324	
451.718	1288	
451.751	1272	
451.783	1264	
